province,male,female,age
Prov. Jawa Timur,1329017,1372477,20-24
Prov. Jawa Timur,1503968,1554637,25-29
Prov. Jawa Timur,1437531,1485179,30-34
Prov. Jawa Timur,1464184,1502758,35-39
Prov. Jawa Timur,1403677,1462913,40-44
Prov. Jawa Timur,1248980,1315172,45-49
Prov. Jawa Timur,1095505,1094961,50-54
Prov. Jawa Timur,859843,804054,55-59
Prov. Jawa Timur,578436,645514,60-64
Prov. Jawa Timur,1106731,1503507,65+
Prov. Kalimantan Barat,231341,219050,0-4
Prov. Kalimantan Barat,249755,237872,5-9
Prov. Kalimantan Barat,233766,221751,10-14
Prov. Kalimantan Barat,202551,198242,15-19
Prov. Kalimantan Barat,194970,195803,20-24
Prov. Kalimantan Barat,205279,202210,25-29
Prov. Kalimantan Barat,190177,179534,30-34
Prov. Kalimantan Barat,168304,155681,35-39
Prov. Kalimantan Barat,145291,134219,40-44
Prov. Kalimantan Barat,119636,111974,45-49
Prov. Kalimantan Barat,98074,91906,50-54
Prov. Kalimantan Barat,70183,62799,55-59
Prov. Kalimantan Barat,50695,49765,60-64
Prov. Kalimantan Barat,77293,79095,65+
Prov. Kalimantan Selatan,183788,172604,0-4
Prov. Kalimantan Selatan,188917,177274,5-9
Prov. Kalimantan Selatan,171850,161354,10-14
Prov. Kalimantan Selatan,167230,160784,15-19
Prov. Kalimantan Selatan,162519,161963,20-24
Prov. Kalimantan Selatan,170654,170922,25-29
Prov. Kalimantan Selatan,163140,160340,30-34
Prov. Kalimantan Selatan,155364,149680,35-39
Prov. Kalimantan Selatan,132141,126060,40-44
Prov. Kalimantan Selatan,106699,101538,45-49
Prov. Kalimantan Selatan,85065,79411,50-54
Prov. Kalimantan Selatan,55594,50311,55-59
Prov. Kalimantan Selatan,38017,42688,60-64
Prov. Kalimantan Selatan,55232,75477,65+
Prov. Kalimantan Tengah,119696,113102,0-4
Prov. Kalimantan Tengah,123059,115877,5-9
Prov. Kalimantan Tengah,109515,103003,10-14
Prov. Kalimantan Tengah,101762,96355,15-19
